30,7,31,9,31,6,6,6,6,6,6,6,6,6,6,6,23,1,31,,21,31,21,21,31,21,1,21,21,21,,21,6,6,,1,1,,1,,5,,5,,7,,1,,16,7,1,,16,6,,6,,6,6,6,9,6,6,6,,,6,6,,,31,21,31,6,6,27,31,31,31,31,6,7,6,,5,6,6,21,6,,7,7,30,1,7,1,1,1,6,7,,6,6,1,1,1,3,1,1,1,1,31,6,30,7,7,7,1,1,1,30,1,1,7,27,1,1,6,21,,,6,,1,,,,,,6,,6,1,6,1,6
1,9,21,6,16,6,6,6,6,6,31,6,6,6,6,6,23,1,31,,21,,6,21,31,31,1,21,21,21,,6,6,6,,1,1,,31,,5,,,,7,,7,,1,1,,,5,6,,6,,6,6,6,9,6,6,6,,,6,6,,,,21,31,6,31,6,6,6,31,31,6,29,6,,7,6,6,21,31,,7,7,30,,7,1,1,1,1,6,,6,1,1,1,1,1,1,1,1,1,31,6,6,6,1,7,1,1,,7,1,1,1,6,1,30,6,21,,,6,,6,,,,,,6,,6,6,6,1,6
6,5,6,6,31,6,6,6,6,6,6,6,6,6,6,1,21,,21,,21,31,6,21,31,21,16,31,21,21,,6,6,6,,1,1,,31,,5,,,,1,,5,,1,1,,,1,29,,6,,31,31,6,25,6,6,6,,,6,6,,,,31,31,6,31,31,6,6,31,6,6,25,6,,7,5,7,21,31,,7,7,30,,7,1,7,7,21,1,,5,1,1,1,1,1,1,1,1,1,7,6,6,6,1,7,1,1,,30,6,1,1,6,6,30,6,,,,6,,6,,,,,,6,,6,6,6,6,6
6,9,,6,31,6,6,6,6,6,6,6,6,27,6,1,21,,21,,21,31,31,6,1,1,31,31,21,21,,6,,6,,1,1,,31,,5,,,,1,,5,,,7,,,1,7,,6,,6,6,23,25,6,6,6,,,6,31,,,,5,31,31,6,31,6,6,29,6,6,25,6,,7,5,6,21,7,,7,7,7,,7,1,25,7,1,1,,6,6,1,1,1,31,1,1,1,6,7,6,6,6,1,7,7,6,,30,6,1,6,6,6,1,6,,,,6,,6,,,,,,1,,1,1,6,6,1
25,5,,6,31,6,6,6,6,6,6,6,6,27,6,6,21,,21,,21,,31,6,6,6,31,6,21,21,,6,,6,,1,1,,31,,5,,,,6,,3,,,31,,,1,7,7,6,,6,6,31,25,6,6,6,,,6,5,,,,5,31,6,6,6,6,6,4,31,6,25,6,,7,5,6,7,7,,7,16,7,,7,1,7,7,6,6,,6,6,,1,1,31,1,6,1,6,7,1,6,6,7,7,6,6,,30,6,1,6,6,6,6,6,,,,,31,6,,,,,,1,,6,1,6,6,6
6,5,,6,5,6,6,6,6,6,6,6,6,25,6,1,31,,21,,31,,21,6,,1,31,6,21,21,,6,,6,,1,1,,31,,5,,,,6,,3,,,31,,,1,6,25,6,6,6,31,27,25,6,6,6,,,6,5,,,,,31,6,6,31,6,6,,6,6,25,6,,7,6,6,21,6,,9,16,7,,7,1,7,7,6,6,,6,6,,1,31,1,1,6,1,1,7,1,6,6,7,7,6,6,,1,1,1,6,6,6,6,6,,,,31,,6,,,,,,6,,6,1,6,6,6
6,5,,6,31,6,6,6,6,6,6,6,6,25,6,1,31,,21,,21,,31,6,,1,31,6,21,5,,6,,6,,1,1,,31,,5,,,,6,,3,,,,,,5,6,,16,6,6,6,6,29,6,6,6,,,,6,6,,,,6,6,6,31,31,31,4,31,6,25,6,,6,6,7,7,6,,7,7,7,,7,1,7,7,6,6,,6,6,,1,6,1,1,1,1,1,7,1,6,6,7,7,6,1,,1,6,1,1,6,6,6,6,,,,31,,6,,,,,,6,,6,6,6,6,6
6,5,,6,31,6,6,6,6,6,6,6,6,5,6,1,31,,31,,21,,,6,,1,21,6,21,5,,6,,6,,1,1,,31,,7,,,,,,,,,,,,5,6,,16,,6,6,6,29,6,6,6,,,,6,6,,,,6,6,31,21,6,,,6,,25,,,6,31,7,9,6,,30,6,7,,,1,7,21,6,6,,6,1,,1,6,1,1,1,1,6,7,1,6,1,7,7,6,6,,1,1,1,6,6,1,6,6,6,,,6,,1,,,,,,1,,6,6,6,6,6
14,6,,6,31,6,6,21,6,6,6,6,6,7,6,1,31,,31,,21,6,,6,,31,21,31,21,21,,6,,6,,1,6,,7,,7,,,,,,,,,,,,5,6,,6,,6,6,6,27,6,6,6,,,31,6,6,,,,31,6,31,21,6,,,6,6,7,,,7,23,7,7,6,,30,21,25,,,8,7,6,,6,,6,1,,6,6,31,1,1,1,6,7,1,6,1,7,7,1,6,,1,6,1,6,6,7,6,6,6,,,6,31,6,,,,,,6,,6,6,6,6,6
6,6,,6,31,6,6,21,6,6,6,6,6,7,6,1,21,,31,,21,6,,6,,1,21,31,21,21,,6,,21,,1,1,,,,6,,,,,,,,,,,,8,6,,6,,6,6,6,31,6,6,6,,,,6,6,,,,31,6,31,6,6,,4,6,6,7,,,7,4,7,7,6,,,,25,,,8,7,6,,6,,6,1,,6,1,31,1,1,1,6,7,1,6,29,7,7,7,6,,7,7,1,6,6,7,6,6,6,,,6,31,6,,,,,,6,,6,1,6,6,6
6,6,,6,7,6,6,6,6,27,6,6,6,7,6,1,31,,31,,21,,,6,,,,31,21,21,,6,,23,31,1,1,,,,6,,,,,,,,,,,,8,6,,6,,6,6,6,31,7,6,6,,,,6,6,,,,31,6,31,6,6,,31,31,,7,,,7,4,7,,7,,,,7,,,1,25,6,,6,,6,,,6,6,31,1,6,1,6,7,6,6,1,7,,7,1,,7,7,1,6,6,1,5,6,6,,,6,,6,,,,,,6,,6,6,6,6,6
